iter	Passed	Remaining
0	53	53031
1	58	28989
2	64	21347
3	70	17495
4	75	15044
5	81	13428
6	87	12437
7	93	11586
8	99	10911
9	104	10327
10	109	9878
11	115	9528
12	121	9189
13	126	8942
14	133	8738
15	143	8814
16	150	8720
17	155	8491
18	160	8282
19	164	8078
20	169	7892
21	174	7778
22	180	7652
23	184	7507
24	188	7353
25	192	7225
26	196	7095
27	200	6974
28	204	6859
29	210	6793
30	214	6701
31	218	6608
32	222	6534
33	227	6458
34	231	6382
35	235	6315
36	240	6250
37	244	6196
38	249	6141
39	254	6096
40	258	6045
41	262	5997
42	268	5972
43	274	5973
44	280	5953
45	284	5909
46	289	5869
47	295	5853
48	301	5853
49	308	5852
50	313	5830
51	319	5832
52	325	5821
53	330	5791
54	335	5761
55	340	5737
56	344	5705
57	350	5693
58	359	5736
59	381	5970
60	394	6065
61	402	6092
62	408	6076
63	413	6053
64	420	6045
65	425	6023
66	432	6019
67	436	5988
68	440	5944
69	445	5918
70	450	5893
71	454	5862
72	459	5831
73	463	5798
74	468	5780
75	472	5746
76	477	5725
77	482	5700
78	486	5666
79	490	5643
80	495	5619
81	500	5598
82	503	5568
83	508	5540
84	512	5512
85	516	5489
86	520	5465
87	524	5440
88	530	5433
89	535	5410
90	539	5386
91	543	5364
92	548	5344
93	552	5322
94	556	5301
95	562	5296
96	566	5278
97	571	5257
98	576	5246
99	580	5224
100	585	5208
101	589	5192
102	594	5177
103	598	5159
104	603	5140
105	608	5131
106	614	5129
107	622	5140
108	629	5149
109	635	5144
110	641	5135
111	648	5143
112	654	5140
113	661	5140
114	666	5132
115	671	5118
116	678	5117
117	683	5110
118	689	5103
119	695	5100
120	700	5090
121	706	5083
122	712	5078
123	716	5060
124	722	5056
125	728	5055
126	733	5045
127	740	5044
128	745	5035
129	749	5016
130	754	5004
131	759	4992
132	763	4979
133	771	4984
134	776	4974
135	780	4956
136	788	4966
137	792	4951
138	797	4937
139	803	4937
140	808	4923
141	812	4906
142	817	4896
143	821	4885
144	826	4871
145	835	4886
146	840	4877
147	848	4882
148	856	4889
149	862	4889
150	873	4909
151	879	4908
152	887	4913
153	892	4902
154	900	4907
155	904	4894
156	909	4880
157	914	4871
158	919	4862
159	923	4846
160	927	4835
161	932	4825
162	937	4814
163	942	4806
164	948	4798
165	952	4786
166	956	4771
167	961	4763
168	968	4759
169	974	4756
170	979	4746
171	983	4734
172	988	4723
173	992	4713
174	997	4702
175	1002	4691
176	1006	4677
177	1010	4666
178	1015	4656
179	1019	4643
180	1023	4630
181	1027	4618
182	1032	4607
183	1035	4594
184	1042	4593
185	1046	4581
186	1050	4568
187	1054	4555
188	1059	4545
189	1063	4531
190	1066	4518
191	1070	4506
192	1075	4497
193	1079	4486
194	1083	4473
195	1087	4460
196	1091	4451
197	1097	4446
198	1106	4452
199	1112	4450
200	1117	4443
201	1124	4440
202	1129	4435
203	1135	4430
204	1141	4424
205	1146	4419
206	1150	4409
207	1177	4483
208	1189	4502
209	1196	4502
210	1203	4499
211	1208	4490
212	1212	4481
213	1216	4469
214	1221	4459
215	1226	4452
216	1230	4440
217	1234	4429
218	1239	4420
219	1244	4412
220	1248	4400
221	1252	4389
222	1257	4380
223	1262	4372
224	1266	4361
225	1270	4352
226	1275	4343
227	1279	4333
228	1284	4324
229	1288	4315
230	1293	4307
231	1298	4297
232	1304	4293
233	1309	4285
234	1313	4274
235	1317	4266
236	1322	4258
237	1329	4256
238	1336	4254
239	1351	4278
240	1356	4271
241	1364	4275
242	1371	4272
243	1377	4267
244	1381	4257
245	1387	4252
246	1392	4245
247	1398	4240
248	1402	4230
249	1407	4222
250	1412	4214
251	1418	4209
252	1423	4202
253	1428	4195
254	1433	4188
255	1438	4180
256	1443	4171
257	1447	4161
258	1452	4154
259	1457	4148
260	1463	4143
261	1470	4142
262	1475	4134
263	1480	4128
264	1486	4123
265	1492	4117
266	1498	4113
267	1503	4107
268	1508	4099
269	1514	4093
270	1519	4086
271	1523	4077
272	1528	4071
273	1533	4063
274	1538	4056
275	1542	4046
276	1548	4040
277	1553	4034
278	1559	4029
279	1563	4019
280	1567	4010
281	1571	3999
282	1575	3990
283	1579	3983
284	1585	3978
285	1594	3980
286	1600	3974
287	1604	3966
288	1608	3957
289	1613	3949
290	1617	3941
291	1622	3933
292	1626	3923
293	1631	3916
294	1635	3907
295	1639	3900
296	1644	3891
297	1649	3885
298	1653	3875
299	1658	3870
300	1663	3863
301	1668	3856
302	1673	3848
303	1678	3841
304	1683	3835
305	1688	3828
306	1692	3821
307	1697	3813
308	1701	3804
309	1706	3797
310	1711	3790
311	1715	3782
312	1721	3778
313	1727	3775
314	1733	3769
315	1737	3761
316	1742	3753
317	1747	3748
318	1754	3744
319	1759	3738
320	1764	3731
321	1768	3723
322	1773	3717
323	1778	3710
324	1782	3701
325	1786	3694
326	1792	3688
327	1796	3680
328	1801	3673
329	1806	3667
330	1810	3660
331	1815	3652
332	1820	3647
333	1825	3639
334	1831	3636
335	1840	3637
336	1847	3634
337	1852	3628
338	1858	3623
339	1862	3615
340	1867	3608
341	1872	3602
342	1876	3595
343	1881	3587
344	1887	3583
345	1891	3576
346	1896	3569
347	1901	3562
348	1904	3553
349	1908	3544
350	1912	3536
351	1917	3529
352	1921	3520
353	1924	3512
354	1929	3505
355	1934	3498
356	1938	3490
357	1941	3482
358	1945	3474
359	1950	3467
360	1954	3459
361	1957	3450
362	1962	3443
363	1966	3435
364	1969	3427
365	1973	3418
366	1977	3411
367	1982	3404
368	1986	3396
369	1990	3388
370	1994	3380
371	1998	3374
372	2002	3366
373	2006	3359
374	2010	3350
375	2015	3344
376	2019	3337
377	2023	3329
378	2026	3321
379	2031	3314
380	2035	3306
381	2038	3298
382	2043	3291
383	2047	3284
384	2051	3277
385	2055	3270
386	2059	3262
387	2063	3255
388	2068	3249
389	2075	3246
390	2081	3242
391	2087	3238
392	2092	3231
393	2097	3225
394	2100	3217
395	2105	3211
396	2108	3203
397	2113	3196
398	2117	3189
399	2121	3182
400	2125	3174
401	2129	3167
402	2133	3161
403	2138	3154
404	2141	3146
405	2146	3140
406	2150	3132
407	2153	3125
408	2158	3118
409	2162	3111
410	2166	3104
411	2170	3098
412	2174	3091
413	2178	3084
414	2182	3077
415	2186	3069
416	2190	3062
417	2195	3056
418	2199	3049
419	2204	3043
420	2208	3037
421	2212	3030
422	2216	3023
423	2221	3018
424	2226	3011
425	2230	3005
426	2234	2997
427	2238	2991
428	2242	2985
429	2247	2979
430	2252	2973
431	2257	2967
432	2260	2960
433	2264	2953
434	2269	2947
435	2273	2941
436	2278	2934
437	2281	2927
438	2286	2921
439	2290	2914
440	2294	2908
441	2298	2901
442	2309	2904
443	2318	2903
444	2323	2897
445	2326	2890
446	2331	2884
447	2335	2877
448	2339	2871
449	2343	2864
450	2347	2857
451	2351	2850
452	2355	2844
453	2359	2838
454	2364	2831
455	2368	2825
456	2372	2818
457	2376	2812
458	2380	2805
459	2384	2799
460	2388	2792
461	2392	2786
462	2395	2778
463	2400	2772
464	2405	2767
465	2410	2761
466	2414	2755
467	2417	2748
468	2421	2741
469	2425	2735
470	2429	2728
471	2433	2722
472	2438	2716
473	2442	2710
474	2446	2703
475	2451	2698
476	2455	2692
477	2459	2686
478	2464	2680
479	2470	2675
480	2474	2669
481	2478	2663
482	2482	2657
483	2487	2652
484	2492	2646
485	2497	2641
486	2502	2636
487	2508	2631
488	2514	2627
489	2519	2622
490	2527	2620
491	2533	2615
492	2540	2613
493	2547	2608
494	2553	2605
495	2559	2600
496	2571	2602
497	2577	2598
498	2582	2592
499	2590	2590
500	2600	2589
501	2604	2584
502	2613	2582
503	2620	2578
504	2629	2577
505	2635	2572
506	2641	2568
507	2647	2564
508	2656	2562
509	2663	2558
510	2667	2552
511	2672	2547
512	2677	2542
513	2682	2536
514	2687	2531
515	2692	2525
516	2696	2519
517	2701	2513
518	2705	2507
519	2710	2501
520	2714	2495
521	2719	2490
522	2723	2484
523	2727	2477
524	2731	2470
525	2735	2465
526	2742	2461
527	2749	2457
528	2754	2452
529	2760	2448
530	2766	2443
531	2773	2439
532	2780	2435
533	2786	2431
534	2793	2427
535	2799	2423
536	2812	2424
537	2816	2418
538	2821	2412
539	2826	2407
540	2830	2401
541	2834	2394
542	2837	2388
543	2842	2382
544	2846	2376
545	2850	2370
546	2855	2364
547	2859	2358
548	2863	2352
549	2867	2346
